name,city,state,profile_url,services_offered
M Y RAMESHA & CO,Chitradurga,Karnataka,https://caconnect.icai.org/firmProfile/717/2,"Arbitration Audit Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Foreign Trade Forensic Accounting & Investigation Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
M Y RAMESHA & CO,Gulbarga,Karnataka,https://caconnect.icai.org/firmProfile/717/2,"Arbitration Audit Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Foreign Trade Forensic Accounting & Investigation Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
M Y RAMESHA & CO,Gundlupet,Karnataka,https://caconnect.icai.org/firmProfile/717/2,"Arbitration Audit Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Foreign Trade Forensic Accounting & Investigation Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
M Y RAMESHA & CO,Hassan,Karnataka,https://caconnect.icai.org/firmProfile/717/2,"Arbitration Audit Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Foreign Trade Forensic Accounting & Investigation Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
M Y RAMESHA & CO,Karwar,Karnataka,https://caconnect.icai.org/firmProfile/717/2,"Arbitration Audit Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Foreign Trade Forensic Accounting & Investigation Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
M Y RAMESHA & CO,Kolar,Karnataka,https://caconnect.icai.org/firmProfile/717/2,"Arbitration Audit Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Foreign Trade Forensic Accounting & Investigation Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
M Y RAMESHA & CO,Maddur,Karnataka,https://caconnect.icai.org/firmProfile/717/2,"Arbitration Audit Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Foreign Trade Forensic Accounting & Investigation Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
M Y RAMESHA & CO,Madhugiri,Karnataka,https://caconnect.icai.org/firmProfile/717/2,"Arbitration Audit Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Foreign Trade Forensic Accounting & Investigation Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
M Y RAMESHA & CO,Madikeri,Karnataka,https://caconnect.icai.org/firmProfile/717/2,"Arbitration Audit Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Foreign Trade Forensic Accounting & Investigation Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
M Y RAMESHA & CO,Magadi,Karnataka,https://caconnect.icai.org/firmProfile/717/2,"Arbitration Audit Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Foreign Trade Forensic Accounting & Investigation Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
M Y RAMESHA & CO,Malavalli,Karnataka,https://caconnect.icai.org/firmProfile/717/2,"Arbitration Audit Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Foreign Trade Forensic Accounting & Investigation Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
M Y RAMESHA & CO,Malur,Karnataka,https://caconnect.icai.org/firmProfile/717/2,"Arbitration Audit Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Foreign Trade Forensic Accounting & Investigation Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
M Y RAMESHA & CO,Mandya,Karnataka,https://caconnect.icai.org/firmProfile/717/2,"Arbitration Audit Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Foreign Trade Forensic Accounting & Investigation Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
SHETTY & THOMAS,Mangalore,Karnataka,https://caconnect.icai.org/firmProfile/1263/2,"Arbitration Audit Business Advisory Charities, Trust and Not For Profit Corporate Laws and LLP Direct Tax Foreign Trade Goods and Service Tax MSME Advisory Startup advisory"
M Y RAMESHA & CO,Mangalore,Karnataka,https://caconnect.icai.org/firmProfile/717/2,"Arbitration Audit Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Foreign Trade Forensic Accounting & Investigation Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
M Y RAMESHA & CO,Mysore,Karnataka,https://caconnect.icai.org/firmProfile/717/2,"Arbitration Audit Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Foreign Trade Forensic Accounting & Investigation Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
CA. SANJU RUNWAL,Vijayapura,Karnataka,https://caconnect.icai.org/memberProfile/562/1,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
M Y RAMESHA & CO,Chikmagalur,Karnataka,https://caconnect.icai.org/firmProfile/717/2,"Arbitration Audit Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Foreign Trade Forensic Accounting & Investigation Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
M Y RAMESHA & CO,Davanagere,Karnataka,https://caconnect.icai.org/firmProfile/717/2,"Arbitration Audit Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Foreign Trade Forensic Accounting & Investigation Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
M Y RAMESHA & CO,Dharwad,Karnataka,https://caconnect.icai.org/firmProfile/717/2,"Arbitration Audit Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Foreign Trade Forensic Accounting & Investigation Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
M Y RAMESHA & CO,Gadag,Karnataka,https://caconnect.icai.org/firmProfile/717/2,"Arbitration Audit Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Foreign Trade Forensic Accounting & Investigation Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
SREEJITH AND COMPANY,Chengannur,Kerala,https://caconnect.icai.org/firmProfile/564/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Indirect Tax Information Technology Services International Tax Investment Advisory MSME Advisory Payroll Services Startup advisory"
VISHNU RAJENDRAN & CO,Kannur,Kerala,https://caconnect.icai.org/firmProfile/1290/2,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services Investment Advisory MSME Advisory Payroll Services RERA Startup advisory"
CA. MOHAMED HAFIZ  K S,Kochi,Kerala,https://caconnect.icai.org/memberProfile/4129/1,Audit Foreign Trade
R MANOJ KUMAR & CO,Kochi,Kerala,https://caconnect.icai.org/firmProfile/784/2,Audit Certification Corporate Laws and LLP Direct Tax Foreign Trade Goods and Service Tax
VISHNU RAJENDRAN & CO,Kochi,Kerala,https://caconnect.icai.org/firmProfile/1290/2,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services Investment Advisory MSME Advisory Payroll Services RERA Startup advisory"
VISHNU RAJENDRAN & CO,Kollam,Kerala,https://caconnect.icai.org/firmProfile/1290/2,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services Investment Advisory MSME Advisory Payroll Services RERA Startup advisory"
SOORAJ S AND ASSOCIATES,Kollam,Kerala,https://caconnect.icai.org/firmProfile/179/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Corporate Laws and LLP Direct Tax Foreign Trade Goods and Service Tax Indirect Tax MSME Advisory Payroll Services Startup advisory"
VISHNU RAJENDRAN & CO,Kottayam,Kerala,https://caconnect.icai.org/firmProfile/1290/2,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services Investment Advisory MSME Advisory Payroll Services RERA Startup advisory"
VISHNU RAJENDRAN & CO,Kozhikode,Kerala,https://caconnect.icai.org/firmProfile/1290/2,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services Investment Advisory MSME Advisory Payroll Services RERA Startup advisory"
VISHNU RAJENDRAN & CO,Thiruvananthapuram,Kerala,https://caconnect.icai.org/firmProfile/1290/2,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services Investment Advisory MSME Advisory Payroll Services RERA Startup advisory"
CA. CA MARIYA  KHARODAWALA,Indore,Madhya Pradesh,https://caconnect.icai.org/memberProfile/573/1,Audit Foreign Trade
S P A R K & ASSOCIATES CHARTERED ACCOUNTANTS LLP,Indore,Madhya Pradesh,https://caconnect.icai.org/firmProfile/1174/2,Audit Book-keeping Business Advisory Certification Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation
R AGRAWAL & CO,Indore,Madhya Pradesh,https://caconnect.icai.org/firmProfile/1561/2,"Audit Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax"
ASHUTOSH KALAMKAR & ASSOCIATES,Kolhapur,Maharashtra,https://caconnect.icai.org/firmProfile/647/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
CA. ANAND RATANLALJI  NAHAR,Aurangabad (MH),Maharashtra,https://caconnect.icai.org/memberProfile/200/1,Audit Book-keeping Business Advisory Corporate Laws and LLP Foreign Trade Goods and Service Tax Indirect Tax MSME Advisory RERA
CA. PRAVEEN KUMAR  RANJAN,Mumbai,Maharashtra,https://caconnect.icai.org/memberProfile/307/1,Business Advisory Corporate Laws and LLP Foreign Trade International Tax MSME Advisory RERA Startup advisory
CA. DHARMIL RAJENDRA  SHAH,Mumbai,Maharashtra,https://caconnect.icai.org/memberProfile/518/1,Audit Book-keeping Business Advisory Certification Corporate Laws and LLP Direct Tax Foreign Trade Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services International Tax MSME Advisory Payroll Services
