name,location,service,state,city,profile_url,services_offered
M R N P & CO LLP,"Professional City:
                                            Ahmedabad
                                            Bangalore
                                            Bhuj
                                            GANDHIDHAM
                                            Raipur
                                            Surat
                                            Vadodara, GANDHIDHAM, GUJARAT,   INDIA, INDIA",Foreign Trade,Gujarat,Ahmedabad,https://caconnect.icai.org/firmProfile/1724/2,Audit Book-keeping Business Advisory Certification Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Indirect Tax Information Technology Services International Tax Investment Advisory MSME Advisory Payroll Services Startup advisory
M K AGRAWAL & CO,"Professional City:
                                            Ahmedabad
                                            Deesa
                                            Palanpur
                                            Patan, NEW DISA, GUJARAT,   INDIA, INDIA",Foreign Trade,Gujarat,Ahmedabad,https://caconnect.icai.org/firmProfile/381/2,"Audit Business Advisory Certification Charities, Trust and Not For Profit Direct Tax Foreign Trade Indirect Tax International Tax Investment Advisory MSME Advisory Startup advisory"
V C A N & CO,"Professional City:
                                            Ahmedabad, AHMEDABAD, GUJARAT,   INDIA, INDIA",Foreign Trade,Gujarat,Ahmedabad,https://caconnect.icai.org/firmProfile/1244/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
R S HINDOCHA & CO,"Professional City:
                                            Ahmedabad, AHMEDABAD, GUJARAT,   INDIA, INDIA",Foreign Trade,Gujarat,Ahmedabad,https://caconnect.icai.org/firmProfile/2483/2,Foreign Trade Indirect Tax
KAPIL M SHARMA & ASSOCIATES,"Professional City:
                                            Ahmedabad, AHMEDABAD, GUJARAT,   INDIA, INDIA",Foreign Trade,Gujarat,Ahmedabad,https://caconnect.icai.org/firmProfile/201/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax Foreign Trade Goods and Service Tax Inbound / Outbound Services Indirect Tax International Tax MSME Advisory RERA Startup advisory"
CA. ANANDKUMAR DINESHBHAI  THAKOR,"Professional City:
                                            Anand, ANAND, GUJARAT,   INDIA, INDIA",Foreign Trade,Gujarat,Anand,https://caconnect.icai.org/memberProfile/485/1,Audit Business Advisory Certification Cloud Accounting Foreign Trade Investment Advisory MSME Advisory
M R N P & CO LLP,"Professional City:
                                            Ahmedabad
                                            Bangalore
                                            Bhuj
                                            GANDHIDHAM
                                            Raipur
                                            Surat
                                            Vadodara, GANDHIDHAM, GUJARAT,   INDIA, INDIA",Foreign Trade,Gujarat,Bhuj,https://caconnect.icai.org/firmProfile/1724/2,Audit Book-keeping Business Advisory Certification Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Indirect Tax Information Technology Services International Tax Investment Advisory MSME Advisory Payroll Services Startup advisory
M K AGRAWAL & CO,"Professional City:
                                            Ahmedabad
                                            Deesa
                                            Palanpur
                                            Patan, NEW DISA, GUJARAT,   INDIA, INDIA",Foreign Trade,Gujarat,Deesa,https://caconnect.icai.org/firmProfile/381/2,"Audit Business Advisory Certification Charities, Trust and Not For Profit Direct Tax Foreign Trade Indirect Tax International Tax Investment Advisory MSME Advisory Startup advisory"
M K AGRAWAL & CO,"Professional City:
                                            Ahmedabad
                                            Deesa
                                            Palanpur
                                            Patan, NEW DISA, GUJARAT,   INDIA, INDIA",Foreign Trade,Gujarat,Palanpur,https://caconnect.icai.org/firmProfile/381/2,"Audit Business Advisory Certification Charities, Trust and Not For Profit Direct Tax Foreign Trade Indirect Tax International Tax Investment Advisory MSME Advisory Startup advisory"
M K AGRAWAL & CO,"Professional City:
                                            Ahmedabad
                                            Deesa
                                            Palanpur
                                            Patan, NEW DISA, GUJARAT,   INDIA, INDIA",Foreign Trade,Gujarat,Patan,https://caconnect.icai.org/firmProfile/381/2,"Audit Business Advisory Certification Charities, Trust and Not For Profit Direct Tax Foreign Trade Indirect Tax International Tax Investment Advisory MSME Advisory Startup advisory"
